,x,y,z
0,121,60,24
1,122,60,25
2,123,60,24
3,124,60,24
4,125,60,24
5,115,60,5
6,116,60,24
7,117,60,24
8,118,60,24
9,119,60,25
10,120,60,24
11,121,60,24
12,122,60,25
13,123,60,24
14,124,60,24
15,125,60,24
16,55,60,15
17,56,60,15
18,57,60,9
19,58,60,17
20,59,60,19
21,60,60,24
22,61,60,24
23,62,60,11
24,63,60,23
25,64,60,7
26,65,60,23
27,66,60,23
28,67,60,24
29,68,60,23
30,69,60,24
31,70,60,23
32,71,60,22
33,72,60,24
34,73,60,23
35,74,60,22
36,75,60,24
37,76,60,24
38,77,60,23
39,78,60,24
40,79,60,23
41,80,60,24
42,81,60,6
43,82,60,24
44,83,60,24
45,84,60,24
46,85,60,24
47,86,60,24
48,87,60,24
49,88,60,25
50,89,60,24
51,90,60,23
52,91,60,24
53,92,60,24
54,93,60,22
55,94,60,24
56,95,60,25
57,96,60,24
58,97,60,24
59,98,60,6
60,99,60,24
61,100,60,20
62,101,60,24
63,102,60,24
64,103,60,24
65,104,60,24
66,105,60,24
67,106,60,24
68,107,60,24
69,108,60,24
70,109,60,24
71,110,60,23
72,111,60,22
73,112,60,24
74,113,60,24
75,114,60,24
76,115,60,5
77,116,60,23
78,117,60,23
79,118,60,24
80,119,60,23
81,120,60,24
82,121,60,24
83,122,60,24
84,123,60,24
85,124,60,24
86,125,60,24
87,126,60,23
88,127,60,24
89,128,60,24
90,129,60,23
91,130,60,12
92,131,60,24
93,132,60,6
94,133,60,24
95,134,60,24
96,135,60,24
97,136,60,23
98,137,60,24
99,138,60,24
100,139,60,24
101,140,60,24
102,141,60,24
103,142,60,24
104,143,60,24
105,144,60,24
106,145,61,24
107,144,61,24
108,143,61,7
109,142,61,24
110,141,61,8
111,140,61,25
112,139,61,25
113,138,61,25
114,137,61,25
115,136,61,25
116,135,61,25
117,134,61,25
118,133,61,23
119,132,61,25
120,131,61,25
121,130,61,25
122,129,61,25
123,128,61,19
124,127,61,25
125,126,61,25
126,125,61,25
127,124,61,25
128,123,61,25
129,122,61,25
130,121,61,25
131,120,61,24
132,119,61,25
133,118,61,25
134,117,61,24
135,116,61,25
136,115,61,25
137,114,61,25
138,113,61,25
139,112,61,25
140,111,61,9
141,110,61,25
142,109,61,25
143,108,61,25
144,107,61,25
145,106,61,25
146,105,61,25
147,104,61,25
148,103,61,25
149,102,61,25
150,101,61,25
151,100,61,25
152,99,61,25
153,98,61,25
154,97,61,25
155,96,61,14
156,95,61,25
157,94,61,8
158,93,61,24
159,92,61,25
160,91,61,25
161,90,61,25
162,89,61,25
163,88,61,25
164,87,61,25
165,86,61,25
166,85,61,25
167,84,61,26
168,83,61,25
169,82,61,24
170,81,61,26
171,80,61,26
172,79,61,16
173,78,61,25
174,77,61,9
175,76,61,26
176,75,61,25
177,74,61,24
178,73,61,25
179,72,61,26
180,71,61,25
181,70,61,26
182,69,61,26
183,68,61,25
184,67,61,25
185,66,61,25
186,65,61,25
187,64,61,25
188,63,61,24
189,62,61,16
190,61,61,25
191,60,61,6
192,59,61,25
193,58,61,25
194,57,61,25
195,56,61,25
196,55,62,25
197,56,62,25
198,57,62,26
199,58,62,25
200,59,62,26
201,60,62,26
202,61,62,26
203,62,62,26
204,63,62,26
205,64,62,26
206,65,62,23
207,66,62,26
208,67,62,10
209,68,62,26
210,69,62,25
211,70,62,27
212,71,62,26
213,72,62,27
214,73,62,27
215,74,62,27
216,75,62,27
217,76,62,28
218,77,62,26
219,78,62,28
220,79,62,27
221,80,62,26
222,81,62,28
223,82,62,27
224,83,62,28
225,84,62,12
226,85,62,28
227,86,62,26
228,87,62,27
229,88,62,27
230,89,62,28
231,90,62,28
232,91,62,26
233,92,62,28
234,93,62,27
235,94,62,28
236,95,62,27
237,96,62,27
238,97,62,27
239,98,62,27
240,99,62,25
241,100,62,27
242,101,62,11
243,102,62,27
244,103,62,25
245,104,62,27
246,105,62,26
247,106,62,27
248,107,62,26
249,108,62,27
250,109,62,27
251,110,62,27
252,111,62,27
253,112,62,28
254,113,62,27
255,114,62,27
256,115,62,26
257,116,62,28
258,117,62,28
259,118,62,11
260,119,62,28
261,120,62,27
262,121,62,25
263,122,62,27
264,123,62,27
265,124,62,25
266,125,62,26
267,126,62,27
268,127,62,26
269,128,62,27
270,129,62,27
271,130,62,25
272,131,62,27
273,132,62,26
274,133,62,14
275,134,62,26
276,135,62,11
277,136,62,27
278,137,62,27
279,138,62,27
280,139,62,27
281,140,62,27
282,141,62,27
283,142,62,27
284,143,62,25
285,144,62,27
286,145,63,27
287,144,63,26
288,143,63,28
289,142,63,28
290,141,63,26
291,140,63,28
292,139,63,28
293,138,63,28
294,137,63,28
295,136,63,28
296,135,63,28
297,134,63,28
298,133,63,28
299,132,63,28
300,131,63,28
301,130,63,28
302,129,63,28
303,128,63,27
304,127,63,28
305,126,63,28
306,125,63,25
307,124,63,28
308,123,63,28
309,122,63,27
310,121,63,28
311,120,63,28
312,119,63,27
313,118,63,28
314,117,63,28
315,116,63,28
316,115,63,29
317,114,63,29
318,113,63,29
319,112,63,29
320,111,63,29
321,110,63,28
322,109,63,27
323,108,63,29
324,107,63,29
325,106,63,29
326,105,63,28
327,104,63,29
328,103,63,28
329,102,63,29
330,101,63,29
331,100,63,28
332,99,63,28
333,98,63,28
334,97,63,28
335,96,63,29
336,95,63,29
337,94,63,29
338,93,63,15
339,92,63,29
340,91,63,16
341,90,63,29
342,89,63,28
343,88,63,29
344,87,63,29
345,86,63,28
346,85,63,29
347,84,63,29
348,83,63,28
349,82,63,29
350,81,63,29
351,80,63,30
352,79,63,30
353,78,63,29
354,77,63,29
355,76,63,17
356,75,63,30
357,74,63,15
358,73,63,30
359,72,63,29
360,71,63,30
361,70,63,30
362,69,63,30
363,68,63,30
364,67,63,29
365,66,63,29
366,65,63,28
367,64,63,27
368,63,63,28
369,62,63,28
370,61,63,28
371,60,63,28
372,59,63,13
373,58,63,28
374,57,63,13
375,56,63,28
376,55,64,28
377,56,64,28
378,57,64,29
379,58,64,30
380,59,64,30
381,60,64,30
382,61,64,29
383,62,64,29
