,x,y,z
0,100,60,24
1,101,60,23
2,102,60,21
3,103,60,23
4,104,60,23
5,105,60,17
6,106,60,23
7,107,60,8
8,108,60,23
9,109,60,23
10,110,60,23
11,111,60,23
12,112,60,23
13,113,60,22
14,114,60,23
15,115,60,23
16,116,60,23
17,117,60,22
18,118,60,23
19,119,60,23
20,120,60,6
21,121,60,23
22,122,60,23
23,123,60,23
24,124,60,23
25,125,60,22
26,126,60,23
27,127,60,23
28,128,60,24
29,129,60,22
30,130,60,24
31,131,60,23
32,132,60,23
33,133,60,17
34,134,60,23
35,135,60,6
36,136,60,23
37,137,60,20
38,138,60,23
39,139,60,23
40,140,60,23
41,141,60,21
42,142,60,23
43,143,60,23
44,144,60,23
45,145,61,22
46,144,61,24
47,143,61,24
48,142,61,7
49,141,61,25
50,140,61,25
51,139,61,25
52,138,61,25
53,137,61,25
54,136,61,25
55,135,61,25
56,134,61,25
57,133,61,25
58,132,61,25
59,131,61,25
60,130,61,25
61,129,61,13
62,128,61,25
63,127,61,20
64,126,61,25
65,125,61,25
66,124,61,25
67,123,61,25
68,122,61,25
69,121,61,25
70,120,61,25
71,119,61,25
72,118,61,25
73,117,61,25
74,116,61,25
75,115,61,25
76,114,61,9
77,113,61,25
78,112,61,25
79,111,61,25
80,110,61,25
81,109,61,25
82,108,61,25
83,107,61,25
84,106,61,24
85,105,61,25
86,104,61,25
87,103,61,25
88,102,61,23
89,101,61,9
90,100,61,25
91,99,61,25
92,98,61,25
93,97,61,25
94,96,61,25
95,95,61,24
96,94,61,25
97,93,61,25
98,92,61,25
99,91,61,25
100,90,61,25
101,89,61,25
102,88,61,23
103,87,61,25
104,86,61,10
105,85,61,25
106,84,61,25
107,83,61,25
108,82,61,25
109,81,61,25
110,80,61,25
111,79,61,25
112,78,61,25
113,77,61,25
114,76,61,25
115,75,61,25
116,74,61,25
117,73,61,14
118,72,61,25
119,71,61,19
120,70,61,25
121,69,61,25
122,68,61,25
123,67,61,25
124,66,61,25
125,65,61,25
126,64,61,25
127,63,61,25
128,62,61,25
129,61,61,25
130,60,61,25
131,59,61,25
132,58,61,7
133,57,61,25
134,56,61,24
135,55,62,25
136,56,62,25
137,57,62,25
138,58,62,25
139,59,62,26
140,60,62,26
141,61,62,26
142,62,62,26
143,63,62,26
144,64,62,26
145,65,62,25
146,66,62,26
147,67,62,11
148,68,62,25
149,69,62,26
150,70,62,26
151,71,62,25
152,72,62,21
153,73,62,26
154,74,62,26
155,75,62,25
156,76,62,26
157,77,62,26
158,78,62,26
159,79,62,26
160,80,62,26
161,81,62,26
162,82,62,8
163,83,62,26
164,84,62,26
165,85,62,25
166,86,62,27
167,87,62,27
168,88,62,26
169,89,62,27
170,90,62,26
171,91,62,27
172,92,62,25
173,93,62,27
174,94,62,26
175,95,62,25
176,96,62,27
177,97,62,12
178,98,62,26
179,99,62,27
180,100,62,27
181,101,62,27
182,102,62,26
183,103,62,27
184,104,62,27
185,105,62,26
186,106,62,26
187,107,62,27
188,108,62,26
189,109,62,26
190,110,62,17
191,111,62,27
192,112,62,18
193,113,62,26
194,114,62,26
195,115,62,26
196,116,62,26
197,117,62,26
198,118,62,26
199,119,62,26
200,120,62,26
201,121,62,25
202,122,62,26
203,123,62,26
204,124,62,26
205,125,62,12
206,126,62,26
207,127,62,26
208,128,62,26
209,129,62,27
210,130,62,26
211,131,62,26
212,132,62,27
213,133,62,27
214,134,62,26
215,135,62,27
216,136,62,27
217,137,62,26
218,138,62,16
219,139,62,27
220,140,62,21
221,141,62,26
222,142,62,26
223,143,62,27
224,144,62,26
225,145,63,26
226,144,63,27
227,143,63,28
228,142,63,28
229,141,63,28
230,140,63,27
231,139,63,28
232,138,63,28
233,137,63,14
234,136,63,27
235,135,63,29
236,134,63,28
237,133,63,28
238,132,63,28
239,131,63,29
240,130,63,28
241,129,63,28
242,128,63,28
243,127,63,29
244,126,63,28
245,125,63,28
246,124,63,13
247,123,63,29
248,122,63,28
249,121,63,29
250,120,63,28
251,119,63,28
252,118,63,28
253,117,63,28
254,116,63,28
255,115,63,29
256,114,63,28
257,113,63,28
258,112,63,28
259,111,63,18
260,110,63,28
261,109,63,24
262,108,63,28
263,107,63,29
264,106,63,28
265,105,63,28
266,104,63,28
267,103,63,28
268,102,63,28
269,101,63,28
270,100,63,28
271,99,63,28
272,98,63,29
273,97,63,28
274,96,63,12
275,95,63,29
276,94,63,29
277,93,63,28
278,92,63,28
279,91,63,28
280,90,63,27
281,89,63,29
282,88,63,28
283,87,63,28
284,86,63,27
285,85,63,28
286,84,63,29
287,83,63,19
288,82,63,28
289,81,63,14
290,80,63,28
291,79,63,28
292,78,63,28
293,77,63,28
294,76,63,27
295,75,63,28
296,74,63,28
297,73,63,27
298,72,63,28
299,71,63,28
300,70,63,27
301,69,63,28
302,68,63,14
303,67,63,28
304,66,63,19
305,65,63,28
306,64,63,28
307,63,63,27
308,62,63,28
309,61,63,28
310,60,63,28
311,59,63,28
312,58,63,28
313,57,63,28
314,56,63,28
315,55,64,28
316,56,64,28
317,57,64,14
318,58,64,30
319,59,64,29
320,60,64,30
321,61,64,30
322,62,64,30
323,63,64,30
324,64,64,28
325,65,64,30
326,66,64,30
327,67,64,29
328,68,64,30
329,69,64,30
330,70,64,29
331,71,64,29
332,72,64,16
333,73,64,30
334,74,64,29
335,75,64,30
336,76,64,30
337,77,64,30
338,78,64,30
339,79,64,30
340,80,64,30
341,81,64,29
342,82,64,31
343,83,64,31
344,84,64,30
345,85,64,32
346,86,64,31
347,87,64,17
348,88,64,31
349,89,64,30
350,90,64,30
351,91,64,29
352,92,64,30
353,93,64,31
354,94,64,30
355,95,64,30
356,96,64,31
357,97,64,31
358,98,64,30
359,99,64,31
360,100,64,27
361,101,64,31
362,102,64,16
363,103,64,31
364,104,64,30
365,105,64,30
366,106,64,31
367,107,64,31
368,108,64,30
369,109,64,30
370,110,64,29
371,111,64,31
372,112,64,30
373,113,64,30
374,114,64,30
375,115,64,16
376,116,64,31
377,117,64,29
378,118,64,29
379,119,64,31
380,120,64,31
381,121,64,31
382,122,64,29
383,123,64,31
384,124,64,31
385,125,64,30
386,126,64,31
387,127,64,31
388,128,64,26
389,129,64,30
390,130,64,15
391,131,64,31
392,132,64,30
393,133,64,30
394,134,64,30
395,135,64,31
396,136,64,30
397,137,64,30
398,138,64,29
399,139,64,31
400,140,64,31
401,141,64,30
402,142,64,30
403,143,64,17
404,144,64,31
405,145,65,30
406,144,65,30
407,143,65,31
408,142,65,32
409,141,65,31
410,140,65,30
411,139,65,32
412,138,65,32
413,137,65,32
